"Position [1.0, 0.0, 0.0] (m)-Assembly 1.channel: int_1 [In-place 1]","Mass Flow Rate-Assembly 1.channel: int_1 [In-place 1] (kg/s)","Position [1.0, 0.0, 0.0] (m)-Assembly 1.channel: int_2 [In-place 2]","Mass Flow Rate-Assembly 1.channel: int_2 [In-place 2] (kg/s)"
0.03994123478239219,-3.774385959331994E-7,0.025261647677893705,4.012641241502024E-8
0.039915530575851975,-4.7520222778985044E-7,0.025283373911911475,1.6862549045981723E-7
0.0398634804491919,-8.447394748145598E-7,0.025293636648993863,5.860103442500986E-7
0.03992827474228576,-3.440835598667036E-7,0.025319666431916764,2.1778176062525745E-7
0.03992871108967779,-4.124904933178186E-7,0.02535602237965388,4.472731234272942E-7
0.03992833285850634,-3.273701452144451E-7,0.025391524060084953,7.270823516591918E-7
0.03994480549740362,-2.5238801981686265E-7,0.025335959668605353,4.0203298112828634E-7
0.03994444332760007,-2.5410227522115747E-7,0.025318049904661615,2.461364658756793E-7
0.03992248382815861,-8.522190455551026E-7,0.025363562106912957,4.782247060575173E-7
0.039924879070462736,-8.570950740249828E-7,0.025336788627343235,3.055343427149637E-7
0.039901114174335506,-4.370862427549582E-7,0.025348766123510953,4.2827304014281253E-7
0.03984773276951782,-6.423704235203331E-7,0.025353625069163895,5.057725047663553E-7
0.039815855051547805,-6.120009174992447E-7,0.02532638500770104,2.8589568046299974E-7
0.039777363016361096,-1.621630900672244E-7,0.02532841621717836,5.23975415944733E-7
0.03979226138894425,-2.7801277724393003E-7,0.025212990387406774,7.689733649840491E-8
0.039900816428480285,-7.055981541270739E-7,0.0252623438729537,1.8239336441183696E-7
0.03986138117030135,-5.925318191657425E-7,0.025236439600790563,1.5840230105368391E-7
0.039892252993928144,-6.286543339228956E-7,0.025357486862799015,4.926575911667896E-7
0.039922436357458284,-7.330015137085866E-7,0.025289268502589772,2.6267812813784985E-7
0.039907824885752924,-8.87975147634279E-7,0.025316764483359525,2.868016792945127E-7
0.03979666745996211,-8.699339559825603E-7,0.025128442462521234,1.399150022507456E-7
0.039843308400030815,-6.464231887548522E-7,0.025240994666441464,8.502982495883771E-8
0.039825866889929,-4.477075492559379E-7,0.025228421373411077,1.748287985492425E-7
0.03990156423947349,-5.029097565056873E-7,0.025257159877945207,6.496717901427473E-7
0.039872814295191954,-6.445077929129184E-7,0.02521524923309279,7.929350687163605E-8
0.03987736868532954,-4.4271519072935916E-7,0.025189540784379946,9.47289464647838E-8
0.039866927113476246,-1.133736645897443E-6,0.025300263410669818,6.01229714902729E-7
0.039887115932248016,-5.924246693211899E-7,0.025268660871669135,4.65101294366832E-7
0.039854451361311515,-7.308949534490239E-7,0.02523539305821208,4.637508936866652E-7
0.03982799193501786,-6.783449180147727E-7,0.025274908736003653,3.1390626986649295E-7
0.03980100322587352,-5.07519246184529E-7,0.025189758238763536,1.7368323312894063E-7
0.039798491812152455,-1.020380182126246E-6,0.025160614055436226,1.8041413341052248E-7
0.03982969864795586,-4.4430640855352976E-7,0.02513381726555793,1.6154535842360929E-7
0.03979355486061324,-1.1823913155240007E-6,0.02511124630402065,5.3854630976957196E-8
0.03982931947015222,-7.124941134861729E-7,0.025099123726052844,1.9295082154258125E-7
0.03986559221794484,-9.82234837465512E-7,0.02532070428887563,4.363915593330603E-7
0.039865072315565096,-7.763524649817555E-7,0.025300068669713714,8.100932404886407E-7
0.03989354605998967,-4.4009709654346807E-7,0.025263180915934415,4.5932517878100043E-7
0.03983021459880699,-8.044531796258525E-7,0.025277231772158678,2.688635731828981E-7
0.036618875661707725,-2.0941615730407648E-7,0.025296794331510303,4.0866680706130865E-7
0.03664015803378851,-1.415167929508243E-7,0.025346278341777863,2.8738145374518353E-7
0.036624275394349794,-9.116994448277183E-8,0.025284885859324008,4.785846954291628E-7
0.03662070674729612,-3.9778772276122254E-8,0.025320783652861428,9.02444924122392E-7
0.03661484095542137,-5.597491536946109E-8,0.025298596910845787,3.249068925015308E-7
0.036615617372980525,-6.003327257531055E-8,0.02532779617068799,2.9130808343325043E-7
0.03663061214336218,-3.0243467108448385E-7,0.025321324364803794,3.8317375583574176E-7
0.03662270505200829,-2.838386308212648E-7,0.025325358831034032,4.391299057715514E-7
0.03670393685743696,-2.4800718279038847E-7,0.025300432328344592,4.317790001096E-7
0.03663227252242245,-4.78706340345525E-7,0.025295964115123398,4.16090216504017E-7
0.036658948580288356,-3.10641638634479E-7,0.02524697017686263,7.089731184350967E-7
0.036639666107902105,-1.3785636099328258E-7,0.02524641379931766,4.215619071601395E-7
0.03667985464372,-2.876057862977177E-7,0.02527344352352079,4.6456580093945377E-7
0.03665933921683056,-3.7391967566691164E-7,0.025227765784953397,3.212574313238292E-7
0.03665486204160809,-5.381034497986548E-7,0.025215423715249666,5.626035886052705E-7
0.03663813446231068,-3.5286851129967545E-7,0.025217850352769192,3.7156956977923983E-7
0.03664189781856983,-5.654872552440793E-7,0.025231201104105972,2.7894608933820564E-7
0.03664538637575039,-5.975788326395559E-7,0.025267261800807746,6.047893634786305E-7
0.036643827813035004,-3.4869660225922416E-7,0.025249165554843054,2.6777570383273996E-7
0.03673261771109197,-2.6215312232125143E-7,0.025253918374891368,5.059148975306016E-7
0.03675798488586445,-1.72915633811499E-7,0.025074122405543593,6.004155039818215E-8
0.03672927642869929,-5.07158233631344E-7,0.025114356275338447,2.184957281770039E-7
0.036704208050586606,-5.596243113359378E-7,0.025091134826401046,2.415710866898735E-7
0.03670632760704054,-2.6608790903992485E-7,0.02510721333131908,9.648830712194467E-8
0.03668223459005024,-3.4590732411743375E-7,0.025167110160895095,3.7738956848443195E-8
0.036669389052158885,-6.206145712894795E-7,0.025150140150152107,1.1664977961345357E-7
0.03667571486364644,-6.49910418815125E-7,0.025177118974110988,3.09635396433805E-7
0.03670906309354852,-9.197769941238221E-7,0.025159299793967537,4.0568144754615787E-7
0.03672589860926779,-3.879354153468739E-7,0.025135772878968614,4.1441469988967583E-7
0.036661991907419395,-6.300177801676909E-7,0.025204571801606495,2.704697408262291E-7
