cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity
       103, 7.000000216E-03,-4.008088261E-03,-8.517864626E-04,-5.453916550E+00
       104, 7.000000216E-03,-4.032838158E-03,-8.460001554E-04,-5.459383488E+00
       105, 7.000000216E-03,-4.071542528E-03,-8.438578807E-04,-5.465023518E+00
       106, 7.000000216E-03,-4.305236042E-03,-1.023223856E-03,-1.124137878E+00
       107, 7.000000216E-03,-4.294540733E-03,-1.020666445E-03,-2.830674887E+00
       108, 7.000000216E-03,-4.281706177E-03,-1.017597504E-03,-3.857322693E+00
       109, 7.000000216E-03,-4.266303498E-03,-1.013914705E-03,-4.551463127E+00
       110, 7.000000216E-03,-4.247821402E-03,-1.009495580E-03,-5.076442719E+00
       111, 7.000000216E-03,-4.114923999E-03,-8.492507041E-04,-5.419961929E+00
       112, 7.000000216E-03,-4.147544503E-03,-8.646033821E-04,-5.451980114E+00
       113, 7.000000216E-03,-4.295846447E-03,-1.070672646E-03,-1.109601855E+00
       114, 7.000000216E-03,-4.285425879E-03,-1.067264820E-03,-2.826183558E+00
       115, 7.000000216E-03,-4.272921011E-03,-1.063175383E-03,-3.865517139E+00
       116, 7.000000216E-03,-4.257915076E-03,-1.058268012E-03,-4.566946507E+00
       117, 7.000000216E-03,-4.239908420E-03,-1.052379259E-03,-5.094985962E+00
       118, 7.000000216E-03,-4.168967251E-03,-8.803766686E-04,-5.468708992E+00
       119, 7.000000216E-03,-3.937923349E-03,-9.007974877E-04,-5.405175686E+00
       120, 7.000000216E-03,-3.907931037E-03,-1.188553055E-03,-1.100482941E+00
       121, 7.000000216E-03,-3.915115725E-03,-1.180261374E-03,-2.814768076E+00
       122, 7.000000216E-03,-4.277308937E-03,-1.115346793E-03,-1.125262737E+00
       123, 7.000000216E-03,-4.267167766E-03,-1.111089834E-03,-2.839630127E+00
       124, 7.000000216E-03,-3.923737444E-03,-1.170311356E-03,-3.869041920E+00
       125, 7.000000216E-03,-4.254998639E-03,-1.105981646E-03,-3.877816677E+00
       126, 7.000000216E-03,-3.934083506E-03,-1.158371335E-03,-4.584018707E+00
       127, 7.000000216E-03,-4.240395501E-03,-1.099851681E-03,-4.582784653E+00
       128, 7.000000216E-03,-3.946498036E-03,-1.144043403E-03,-5.119094372E+00
       129, 7.000000216E-03,-4.222871736E-03,-1.092495630E-03,-5.114894867E+00
       130, 7.000000216E-03,-3.939390648E-03,-1.100328751E-03,-5.573118210E+00
