Iteration,Surface Average 1 Monitor: Surface Average of Static Pressure (Pa)
2321,3080.422363
2324,3097.475098
2326,3107.376709
2328,3115.984131
2330,3124.906006
2332,3132.981689
2334,3140.044922
2337,3146.731934
2339,3149.899658
2341,3150.812012
2343,3150.425293
2345,3147.381104
2347,3143.407471
2349,3137.343506
2352,3127.050293
2354,3119.271973
2356,3110.963135
2358,3102.893799
2360,3096.180908
2362,3089.331543
2364,3083.577148
2367,3077.901123
2369,3073.916748
2371,3070.541504
2373,3067.746094
2375,3065.856934
2377,3063.463135
2380,3058.674561
2382,3055.437744
2384,3052.210938
2386,3049.826416
2388,3048.14502
2390,3048.668213
2392,3049.539063
2395,3052.031982
2397,3055.017822
2399,3057.172119
2401,3059.80249
2403,3063.019531
2405,3066.591553
2407,3070.468018
2410,3078.400391
2412,3085.104492
2414,3091.136475
2416,3097.633545
2418,3103.762451
2420,3108.700928
2422,3114.167236
2425,3118.228271
2427,3119.281982
2429,3119.156982
2431,3118.723389
2433,3117.077881
2435,3114.845703
2438,3111.063965
2440,3107.502197
2442,3104.337646
2444,3100.8479
2446,3097.255859
2448,3094.12085
2450,3091.170898
2453,3085.594971
2455,3081.39209
2457,3077.780762
2459,3074.410156
2461,3071.248779
2463,3068.76709
2465,3066.230469
2468,3062.191895
2470,3059.780029
2472,3056.98584
2474,3055.083252
2476,3053.224121
2478,3052.033691
2481,3050.708496
2483,3051.047119
2485,3051.933105
2487,3054.259521
2489,3056.956299
2491,3060.05835
2493,3062.835938
2496,3067.493164
2498,3070.941895
2500,3074.642578
2502,3078.238037
2504,3082.390625
2506,3087.569336
2508,3092.874756
2511,3102.092773
2513,3108.379395
2515,3114.962402
2517,3122.066895
2519,3129.130859
2521,3136.718506
2523,3144.715576
2526,3157.863281
2528,3166.095703
2530,3174.850586
2532,3183.432373
2534,3191.520264
2536,3198.767334
2539,3207.290527
2541,3213.016846
2543,3217.486084
2545,3221.331055
2547,3223.338867
2549,3225.302979
2551,3227.019531
2554,3227.858643
2556,3227.105713
2558,3224.389404
2560,3220.193848
2562,3215.455811
2564,3210.803711
2566,3205.88208
2569,3198.019775
2571,3192.718506
2573,3186.593018
2575,3178.583984
2577,3168.640625
2579,3156.930908
2582,3136.557373
2584,3119.529541
2586,3101.354004
2588,3082.761475
2590,3062.720703
2592,3042.647705
2594,3021.98584
2597,2991.965088
2599,2973.133789
2601,2956.756104
2603,2941.963379
2605,2930.097412
2607,2918.327148
2609,2908.599609
2612,2898.267578
2614,2893.752686
2616,2891.09668
2618,2889.958008
2620,2890.250732
2622,2891.043701
2624,2892.254395
2627,2894.193359
2629,2895.179443
2631,2896.513916
2633,2897.330322
2635,2899.560791
2637,2901.187012
2640,2904.615479
2642,2907.612549
2644,2911.482422
2646,2915.516846
2648,2920.495117
2650,2925.752441
2652,2931.665039
2655,2941.831055
2657,2949.708008
2659,2956.795166
2661,2964.430908
2663,2972.428955
2665,2980.137939
2667,2988.439209
2670,2999.942871
2672,3007.200684
2674,3013.787842
2676,3018.369873
2678,3021.310791
2680,3022.010742
2683,3017.230469
2685,3010.662598
2687,3000.585449
2689,2987.925781
2691,2971.801025
2693,2954.749268
2695,2935.150146
2698,2904.482178
2700,2884.288818
2702,2865.291016
2704,2847.529053
2706,2831.35376
2708,2817.091797
2710,2804.647949
2713,2790.916748
2715,2784.907471
2717,2781.103516
2719,2779.019043
2721,2777.621582
2723,2777.31958
2725,2775.813721
2728,2771.238037
2730,2767.168701
2732,2762.797119
2734,2757.964355
2736,2752.769775
2738,2747.197266
2741,2738.977295
2743,2733.074219
2745,2728.085693
2747,2724.002686
2749,2721.370605
2751,2719.414307
2753,2719.384521
2756,2722.472168
2758,2728.324219
2760,2735.414307
2762,2745.058594
2764,2785.415527
2766,2828.465576
2768,2874.690186
2771,2942.191162
2773,2984.69458
2775,3028.25415
2777,3072.901123
2779,3114.579834
2781,3153.180176
2784,3203.526123
2786,3233.11377
2788,3264.015137
2790,3294.665771
2792,3323.710693
2794,3350.672363
2796,3381.123291
2799,3416.099121
2801,3439.151855
2803,3461.170654
2805,3481.984131
2807,3501.105957
2809,3518.644531
2811,3538.381104
2814,3561.861084
2816,3576.768555
2818,3592.536621
2820,3608.015625
2822,3622.798584
2824,3635.816406
2827,3653.870361
2829,3662.441895
2831,3669.046387
2833,3673.908447
2835,3676.895264
2837,3678.105225
2839,3678.061035
2842,3674.980225
2844,3671.082031
2846,3666.401123
2848,3660.635742
2850,3653.567871
2852,3647.088623
2854,3641.31665
2857,3632.810547
2859,3627.740967
2861,3622.044678
2863,3613.984375
2865,3603.388672
2867,3588.690186
2869,3569.696289
2872,3537.530762
2874,3513.029297
2876,3490.147461
2878,3465.392334
2880,3439.046631
2882,3411.533691
2885,3363.277832
2887,3332.527588
2889,3300.763184
2891,3265.404297
2893,3228.837158
2895,3187.907715
2897,3150.183838
2900,3101.279297
2902,3058.926025
2904,3026.029297
2906,2994.97168
2908,2963.014648
2910,2935.227783
2912,2911.287598
2915,2886.79248
2917,2870.416504
2919,2848.570801
2921,2823.393555
2923,2797.672363
2925,2773.24585
2928,2745.157471
2930,2734.53125
2932,2727.085449
2934,2723.062256
2936,2719.871338
2938,2714.549316
2940,2708.403076
